eval_idx,cluster,dp,mp,sp,pp,sharded,active-chunks-per-dimension,preferred-dataset-splits,collective-optimization,inter-node-bw,intra-node-bw,batch_size,exec_time,is_oom,objective_0,objective_1
1,cl2,1,1,8,4,True,1,1,localBWAware,200,900,8,3004.1103263854984,False,3.477715878152568,4.468347330412158
2,cl2,1,1,8,4,True,1,1,localBWAware,200,900,16,6006.996725463867,False,3.7786573952046614,4.468347330412158
3,cl2,1,1,8,4,True,1,1,localBWAware,200,900,24,9006.528884124757,False,3.954557446148212,4.468347330412158
4,cl2,1,1,8,4,True,1,1,localBWAware,200,600,8,3025.0431953430175,False,3.4807315804315224,4.296665190261531
5,cl2,1,1,8,4,True,1,1,localBWAware,200,600,16,6048.862463378907,False,3.7816737098049753,4.296665190261531
6,cl2,1,1,8,4,True,1,1,localBWAware,200,600,24,9068.121086883544,False,3.9575173106399952,4.296665190261531
7,cl2,1,1,8,4,True,1,1,localBWAware,100,900,8,3010.4509391784673,False,3.4786315539754256,4.463892988985907
8,cl2,1,1,8,4,True,1,1,localBWAware,100,900,16,6019.6779510498045,False,3.7795732574001457,4.463892988985907
9,cl2,1,1,8,4,True,1,1,localBWAware,100,900,24,9025.550722503662,False,3.9554737112366674,4.463892988985907
10,cl2,1,1,8,4,True,1,1,localBWAware,100,600,8,3031.3838081359863,False,3.481640926536858,4.290034611362518
11,cl2,1,1,8,4,True,1,1,localBWAware,100,600,16,6061.543688964844,False,3.782583239714938,4.290034611362518
12,cl2,1,1,8,4,True,1,1,localBWAware,100,600,24,9087.142925262451,False,3.9584273588178602,4.290034611362518
13,cl2,1,1,8,4,True,1,1,baseline,200,900,8,3004.1103263854984,False,3.477715878152568,4.468347330412158
14,cl2,1,1,8,4,True,1,1,baseline,200,900,16,6006.996725463867,False,3.7786573952046614,4.468347330412158
15,cl2,1,1,8,4,True,1,1,baseline,200,900,24,9006.528884124757,False,3.954557446148212,4.468347330412158
16,cl2,1,1,8,4,True,1,1,baseline,200,600,8,3025.0431953430175,False,3.4807315804315224,4.296665190261531
17,cl2,1,1,8,4,True,1,1,baseline,200,600,16,6048.862463378907,False,3.7816737098049753,4.296665190261531
18,cl2,1,1,8,4,True,1,1,baseline,200,600,24,9068.121086883544,False,3.9575173106399952,4.296665190261531
19,cl2,1,1,8,4,True,1,1,baseline,100,900,8,3010.4509391784673,False,3.4786315539754256,4.463892988985907
20,cl2,1,1,8,4,True,1,1,baseline,100,900,16,6019.6779510498045,False,3.7795732574001457,4.463892988985907
21,cl2,1,1,8,4,True,1,1,baseline,100,900,24,9025.550722503662,False,3.9554737112366674,4.463892988985907
22,cl2,1,1,8,4,True,1,1,baseline,100,600,8,3031.3838081359863,False,3.481640926536858,4.290034611362518
23,cl2,1,1,8,4,True,1,1,baseline,100,600,16,6061.543688964844,False,3.782583239714938,4.290034611362518
24,cl2,1,1,8,4,True,1,1,baseline,100,600,24,9087.142925262451,False,3.9584273588178602,4.290034611362518
25,cl2,1,1,8,4,True,2,1,localBWAware,200,900,8,3004.1103263854984,False,3.477715878152568,4.468347330412158
26,cl2,1,1,8,4,True,2,1,localBWAware,200,900,16,6006.996725463867,False,3.7786573952046614,4.468347330412158
27,cl2,1,1,8,4,True,2,1,localBWAware,200,900,24,9006.528884124757,False,3.954557446148212,4.468347330412158
28,cl2,1,1,8,4,True,2,1,localBWAware,200,600,8,3025.0431953430175,False,3.4807315804315224,4.296665190261531
29,cl2,1,1,8,4,True,2,1,localBWAware,200,600,16,6048.862463378907,False,3.7816737098049753,4.296665190261531
30,cl2,1,1,8,4,True,2,1,localBWAware,200,600,24,9068.121086883544,False,3.9575173106399952,4.296665190261531
31,cl2,1,1,8,4,True,2,1,localBWAware,100,900,8,3010.4509391784673,False,3.4786315539754256,4.463892988985907
32,cl2,1,1,8,4,True,2,1,localBWAware,100,900,16,6019.6779510498045,False,3.7795732574001457,4.463892988985907
33,cl2,1,1,8,4,True,2,1,localBWAware,100,900,24,9025.550722503662,False,3.9554737112366674,4.463892988985907
34,cl2,1,1,8,4,True,2,1,localBWAware,100,600,8,3031.3838081359863,False,3.481640926536858,4.290034611362518
35,cl2,1,1,8,4,True,2,1,localBWAware,100,600,16,6061.543688964844,False,3.782583239714938,4.290034611362518
36,cl2,1,1,8,4,True,2,1,localBWAware,100,600,24,9087.142925262451,False,3.9584273588178602,4.290034611362518
37,cl2,1,1,8,4,True,2,1,baseline,200,900,8,3004.1103263854984,False,3.477715878152568,4.468347330412158
38,cl2,1,1,8,4,True,2,1,baseline,200,900,16,6006.996725463867,False,3.7786573952046614,4.468347330412158
39,cl2,1,1,8,4,True,2,1,baseline,200,900,24,9006.528884124757,False,3.954557446148212,4.468347330412158
40,cl2,1,1,8,4,True,2,1,baseline,200,600,8,3025.0431953430175,False,3.4807315804315224,4.296665190261531
41,cl2,1,1,8,4,True,2,1,baseline,200,600,16,6048.862463378907,False,3.7816737098049753,4.296665190261531
42,cl2,1,1,8,4,True,2,1,baseline,200,600,24,9068.121086883544,False,3.9575173106399952,4.296665190261531
43,cl2,1,1,8,4,True,2,1,baseline,100,900,8,3010.4509391784673,False,3.4786315539754256,4.463892988985907
44,cl2,1,1,8,4,True,2,1,baseline,100,900,16,6019.6779510498045,False,3.7795732574001457,4.463892988985907
45,cl2,1,1,8,4,True,2,1,baseline,100,900,24,9025.550722503662,False,3.9554737112366674,4.463892988985907
46,cl2,1,1,8,4,True,2,1,baseline,100,600,8,3031.3838081359863,False,3.481640926536858,4.290034611362518
47,cl2,1,1,8,4,True,2,1,baseline,100,600,16,6061.543688964844,False,3.782583239714938,4.290034611362518
48,cl2,1,1,8,4,True,2,1,baseline,100,600,24,9087.142925262451,False,3.9584273588178602,4.290034611362518
49,cl2,1,1,16,2,True,1,1,localBWAware,200,900,8,1692.9430046081543,False,3.228642337198813,4.468347330412158
50,cl2,1,1,16,2,True,1,1,localBWAware,200,900,16,3359.0844703674315,False,3.5262209251138286,4.468347330412158
51,cl2,1,1,16,2,True,1,1,localBWAware,200,900,24,5025.929067993165,False,3.701216355009335,4.468347330412158
52,cl2,1,1,16,2,True,1,1,localBWAware,200,600,8,1691.2951171875002,False,3.2282193950508944,4.296665190261531
53,cl2,1,1,16,2,True,1,1,localBWAware,200,600,16,3356.765435028076,False,3.525920994559859,4.296665190261531
54,cl2,1,1,16,2,True,1,1,localBWAware,200,600,24,5022.625044250488,False,3.700930757834815,4.296665190261531
55,cl2,1,1,16,2,True,1,1,localBWAware,100,900,8,1911.7162170410156,False,3.2814234242788807,4.463892988985907
56,cl2,1,1,16,2,True,1,1,localBWAware,100,900,16,3768.0941047668457,False,3.576121740371005,4.463892988985907
57,cl2,1,1,16,2,True,1,1,localBWAware,100,900,24,5625.691989898682,False,3.7501759505897185,4.463892988985907
58,cl2,1,1,16,2,True,1,1,localBWAware,100,600,8,1914.6568176269532,False,3.2820909424992952,4.290034611362518
59,cl2,1,1,16,2,True,1,1,localBWAware,100,600,16,3772.6193893432614,False,3.576642992466855,4.290034611362518
60,cl2,1,1,16,2,True,1,1,localBWAware,100,600,24,5631.1313003540035,False,3.7505956538468537,4.290034611362518
61,cl2,1,1,16,2,True,1,1,baseline,200,900,8,1692.9430046081543,False,3.228642337198813,4.468347330412158
62,cl2,1,1,16,2,True,1,1,baseline,200,900,16,3359.0844703674315,False,3.5262209251138286,4.468347330412158
63,cl2,1,1,16,2,True,1,1,baseline,200,900,24,5025.929067993165,False,3.701216355009335,4.468347330412158
64,cl2,1,1,16,2,True,1,1,baseline,200,600,8,1691.2951171875002,False,3.2282193950508944,4.296665190261531
65,cl2,1,1,16,2,True,1,1,baseline,200,600,16,3356.765435028076,False,3.525920994559859,4.296665190261531
66,cl2,1,1,16,2,True,1,1,baseline,200,600,24,5022.625044250488,False,3.700930757834815,4.296665190261531
67,cl2,1,1,16,2,True,1,1,baseline,100,900,8,1911.7162170410156,False,3.2814234242788807,4.463892988985907
68,cl2,1,1,16,2,True,1,1,baseline,100,900,16,3768.0941047668457,False,3.576121740371005,4.463892988985907
69,cl2,1,1,16,2,True,1,1,baseline,100,900,24,5625.691989898682,False,3.7501759505897185,4.463892988985907
70,cl2,1,1,16,2,True,1,1,baseline,100,600,8,1914.6568176269532,False,3.2820909424992952,4.290034611362518
71,cl2,1,1,16,2,True,1,1,baseline,100,600,16,3772.6193893432614,False,3.576642992466855,4.290034611362518
72,cl2,1,1,16,2,True,1,1,baseline,100,600,24,5631.1313003540035,False,3.7505956538468537,4.290034611362518
73,cl2,1,1,16,2,True,2,1,localBWAware,200,900,8,1692.9430046081543,False,3.228642337198813,4.468347330412158
74,cl2,1,1,16,2,True,2,1,localBWAware,200,900,16,3359.0844703674315,False,3.5262209251138286,4.468347330412158
75,cl2,1,1,16,2,True,2,1,localBWAware,200,900,24,5025.929067993165,False,3.701216355009335,4.468347330412158
76,cl2,1,1,16,2,True,2,1,localBWAware,200,600,8,1691.2951171875002,False,3.2282193950508944,4.296665190261531
77,cl2,1,1,16,2,True,2,1,localBWAware,200,600,16,3356.765435028076,False,3.525920994559859,4.296665190261531
78,cl2,1,1,16,2,True,2,1,localBWAware,200,600,24,5022.625044250488,False,3.700930757834815,4.296665190261531
79,cl2,1,1,16,2,True,2,1,localBWAware,100,900,8,1911.7162170410156,False,3.2814234242788807,4.463892988985907
80,cl2,1,1,16,2,True,2,1,localBWAware,100,900,16,3768.0941047668457,False,3.576121740371005,4.463892988985907
81,cl2,1,1,16,2,True,2,1,localBWAware,100,900,24,5625.691989898682,False,3.7501759505897185,4.463892988985907
82,cl2,1,1,16,2,True,2,1,localBWAware,100,600,8,1914.6568176269532,False,3.2820909424992952,4.290034611362518
83,cl2,1,1,16,2,True,2,1,localBWAware,100,600,16,3772.6193893432614,False,3.576642992466855,4.290034611362518
84,cl2,1,1,16,2,True,2,1,localBWAware,100,600,24,5631.1313003540035,False,3.7505956538468537,4.290034611362518
85,cl2,1,1,16,2,True,2,1,baseline,200,900,8,1692.9430046081543,False,3.228642337198813,4.468347330412158
86,cl2,1,1,16,2,True,2,1,baseline,200,900,16,3359.0844703674315,False,3.5262209251138286,4.468347330412158
87,cl2,1,1,16,2,True,2,1,baseline,200,900,24,5025.929067993165,False,3.701216355009335,4.468347330412158
88,cl2,1,1,16,2,True,2,1,baseline,200,600,8,1691.2951171875002,False,3.2282193950508944,4.296665190261531
89,cl2,1,1,16,2,True,2,1,baseline,200,600,16,3356.765435028076,False,3.525920994559859,4.296665190261531
90,cl2,1,1,16,2,True,2,1,baseline,200,600,24,5022.625044250488,False,3.700930757834815,4.296665190261531
91,cl2,1,1,16,2,True,2,1,baseline,100,900,8,1911.7162170410156,False,3.2814234242788807,4.463892988985907
92,cl2,1,1,16,2,True,2,1,baseline,100,900,16,3768.0941047668457,False,3.576121740371005,4.463892988985907
93,cl2,1,1,16,2,True,2,1,baseline,100,900,24,5625.691989898682,False,3.7501759505897185,4.463892988985907
94,cl2,1,1,16,2,True,2,1,baseline,100,600,8,1914.6568176269532,False,3.2820909424992952,4.290034611362518
95,cl2,1,1,16,2,True,2,1,baseline,100,600,16,3772.6193893432614,False,3.576642992466855,4.290034611362518
96,cl2,1,1,16,2,True,2,1,baseline,100,600,24,5631.1313003540035,False,3.7505956538468537,4.290034611362518
97,cl2,1,1,32,1,True,1,1,localBWAware,200,900,8,903.5823623657227,False,2.9559677450438104,4.468347330412158
98,cl2,1,1,32,1,True,1,1,localBWAware,200,900,16,1787.896646118164,False,3.2523424096959643,4.468347330412158
99,cl2,1,1,32,1,True,1,1,localBWAware,200,900,24,2672.2115158081056,False,3.42687083124088,4.468347330412158
100,cl2,1,1,32,1,True,1,1,localBWAware,200,600,8,925.7216354370117,False,2.966480413930328,4.296665190261531
101,cl2,1,1,32,1,True,1,1,localBWAware,200,600,16,1829.762091064453,False,3.262394625656821,4.296665190261531
102,cl2,1,1,32,1,True,1,1,localBWAware,200,600,24,2733.8031326293944,False,3.436767236826129,4.296665190261531
103,cl2,1,1,32,1,True,1,1,localBWAware,100,900,8,1017.4412429809571,False,3.007509338205902,4.463892988985907
104,cl2,1,1,32,1,True,1,1,localBWAware,100,900,16,2003.2053314208983,False,3.3017254673827696,4.463892988985907
105,cl2,1,1,32,1,True,1,1,localBWAware,100,900,24,2988.9697128295898,False,3.4755215143642646,4.463892988985907
106,cl2,1,1,32,1,True,1,1,localBWAware,100,600,8,1039.5805160522461,False,3.0168581313038785,4.290034611362518
107,cl2,1,1,32,1,True,1,1,localBWAware,100,600,16,2045.0707763671874,False,3.310708342785327,4.290034611362518
108,cl2,1,1,32,1,True,1,1,localBWAware,100,600,24,3050.561329650879,False,3.4843797606384244,4.290034611362518
109,cl2,1,1,32,1,True,1,1,baseline,200,900,8,1531.8915710449219,False,3.1852280265476467,4.468347330412158
110,cl2,1,1,32,1,True,1,1,baseline,200,900,16,2066.530268096924,False,3.3152417706974284,4.468347330412158
111,cl2,1,1,32,1,True,1,1,baseline,200,900,24,2808.7078720092773,False,3.4485065714650616,4.468347330412158
112,cl2,1,1,32,1,True,1,1,baseline,200,600,8,1567.1688537597656,False,3.1951157918134534,4.296665190261531
113,cl2,1,1,32,1,True,1,1,baseline,200,600,16,2121.5337226867673,False,3.3266499394542155,4.296665190261531
114,cl2,1,1,32,1,True,1,1,baseline,200,600,24,2870.299488830566,False,3.457927213654086,4.296665190261531
115,cl2,1,1,32,1,True,1,1,baseline,100,900,8,2606.9792335510256,False,3.4161375717168068,4.463892988985907
