"Model","Type","num_layers","d_model","d_ff","num_heads","vocab_size","max_seq_length","Total Params","Model Size (GB) FP32","Sequence Length","Batch Size","din","dout"
"BERT-Tiny","Encoder","2","128","512","2","30,522","512","4.4M","0.018","512","32","128","128"
"DistilBERT","Encoder","6","768","3,072","12","30,522","512","66M","0.264","512","64","768","768"
"ALBERT-Base","Encoder","12","768","3,072","12","30,000","512","11M","0.044","512","128","768","768"
"BERT-Base","Encoder","12","768","3,072","12","30,522","512","110M","0.440","512","32","768","768"
"RoBERTa-Base","Encoder","12","768","3,072","12","50,265","512","125M","0.500","512","32","768","768"
"ELECTRA-Base","Encoder","12","768","3,072","12","30,522","512","110M","0.440","512","64","768","768"
"DeBERTa-Base","Encoder","12","768","3,072","12","128,000","512","140M","0.560","512","32","768","768"
"T5-Small","Encoder-Decoder","6/6","512","2,048","8","32,128","512","60M","0.240","512","64","512","512"
"T5-Base","Encoder-Decoder","12/12","768","3,072","12","32,128","512","220M","0.880","512","32","768","768"
"GPT-2-Small","Decoder","12","768","3,072","12","50,257","1,024","117M","0.468","1024","12","768","768"
"GPT-2-Medium","Decoder","24","1,024","4,096","16","50,257","1,024","345M","1.380","1024","8","1024","1024"
"GPT-3-1.3B","Decoder","24","2,048","8,192","16","50,257","2,048","1.3B","5.200","2048","4","2048","2048"
"BART-Large","Encoder-Decoder","12/12","1,024","4,096","16","50,265","1,024","406M","1.624","1024","16","1024","1024"
"T5-Large","Encoder-Decoder","24/24","1,024","4,096","16","32,128","512","737M","2.948","512","16","1024","1024"
"GPT-3-175B","Decoder","96","12,288","49,152","96","50,257","2,048","175B","700.000","2048","1","12288","12288"



